organizacion_id;tipo_institucion_id;nivel;estado_organizacion_id;institucion_nivel1_id;institucion_nivel2_id;institucion_nivel3_id;institucion_nivel4_id;institucion_nivel5_id;institucion_nivel6_id;institucion_nivel1_descripcion;institucion_nivel2_descripcion;institucion_nivel3_descripcion;institucion_nivel4_descripcion;institucion_nivel5_descripcion;institucion_nivel6_descripcion
10414;73;4;3;00587;16482;05279;10414;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET - PATAGONIA CONFLUENCIA;INSTITUTO DE CIENCIAS DE LA TIERRA Y AMBIENTALES DE LA PAMPA;GRUPO VINCULADO FUNDACION CENTRO DE SALUD E INVESTIGACIONES MEDICAS;;
10422;75;2;3;00550;10422;;;;;UNIVERSIDAD NACIONAL DE TUCUMAN;INSTITUTO DE BIOTECNOLOGIA FARMACEUTICA Y ALIMENTARIA;;;;
10422;73;3;3;00587;04911;10422;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET NOA SUR;INSTITUTO DE BIOTECNOLOGIA FARMACEUTICA Y ALIMENTARIA;;;
10423;75;2;3;00322;10423;;;;;UNIVERSIDAD NACIONAL DE JUJUY;INSTITUTO DE ECORREGIONES ANDINAS;;;;
10423;73;3;3;00587;07844;10423;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET  SALTA-JUJUY;INSTITUTO DE ECORREGIONES ANDINAS;;;
10441;75;2;3;00231;10441;;;;;UNIVERSIDAD NACIONAL DEL COMAHUE;INSTITUTO ANDINO PATAGONICO DE TECNOLOGIAS BIOLOGICAS Y GEOAMBIENTALES;;;;
10441;73;3;3;00587;06288;10441;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET - PATAGONIA NORTE;INSTITUTO ANDINO PATAGONICO DE TECNOLOGIAS BIOLOGICAS Y GEOAMBIENTALES;;;
10458;73;2;3;00587;10458;;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO DE INVESTIGACIONES Y TRANSFERENCIA DE SANTA CRUZ;;;;
10458;75;2;3;01734;10458;;;;;UNIVERSIDAD NACIONAL DE LA PATAGONIA AUSTRAL;CENTRO DE INVESTIGACIONES Y TRANSFERENCIA DE SANTA CRUZ;;;;
10458;75;3;3;00575;09416;10458;;;;UNIVERSIDAD TECNOLOGICA NACIONAL;FACULTAD  REGIONAL SANTA CRUZ;CENTRO DE INVESTIGACIONES Y TRANSFERENCIA DE SANTA CRUZ;;;
10498;75;2;3;00247;10498;;;;;UNIVERSIDAD NACIONAL DE CORDOBA;INSTITUTO DE INVESTIGACION Y DESARROLLO EN INGENIERIA DE PROCESOS Y QUIMICA APLICADA;;;;
10498;73;3;3;00587;04913;10498;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET - CORDOBA;INSTITUTO DE INVESTIGACION Y DESARROLLO EN INGENIERIA DE PROCESOS Y QUIMICA APLICADA;;;
10525;79;2;3;07125;10525;;;;;INSTITUTO DE EFECTIVIDAD CLINICA Y SANITARIA;CENTRO DE INVESTIGACIONES EN EPIDEMIOLOGIA Y SALUD PUBLICA;;;;
10525;73;3;3;00587;08209;10525;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;OFICINA DE COORDINACION ADMINISTRATIVA PQUE. CENTENARIO;CENTRO DE INVESTIGACIONES EN EPIDEMIOLOGIA Y SALUD PUBLICA;;;
10570;75;3;3;00422;00427;10570;;;;UNIVERSIDAD NACIONAL DEL NORDESTE;FACULTAD DE ARQUITECTURA Y URBANISMO;INSTITUTO DE INVESTIGACION PARA EL DESARROLLO TERRITORIAL Y DEL HABITAT HUMANO;;;
10570;73;3;3;00587;06293;10570;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET - NORDESTE;INSTITUTO DE INVESTIGACION PARA EL DESARROLLO TERRITORIAL Y DEL HABITAT HUMANO;;;
10571;75;2;3;00384;10571;;;;;UNIVERSIDAD NACIONAL DEL LITORAL;INSTITUTO DE QUIMICA APLICADA DEL LITORAL;;;;
10571;73;3;3;00587;04934;10571;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET - SANTA FE;INSTITUTO DE QUIMICA APLICADA DEL LITORAL;;;
10572;76;2;3;09420;10572;;;;;"CENTRO DE EDUCACIONES MEDICAS E INVESTIGACIONES CLINICAS ""NORBERTO QUIRNO""";"CENTRO DE EDUCACION MEDICA E INVESTIGACIONES CLINICAS ""NORBERTO QUIRNO""";;;;
10572;73;3;3;00587;08209;10572;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;OFICINA DE COORDINACION ADMINISTRATIVA PQUE. CENTENARIO;"CENTRO DE EDUCACION MEDICA E INVESTIGACIONES CLINICAS ""NORBERTO QUIRNO""";;;
10602;75;2;3;06003;10602;;;;;UNIVERSIDAD NACIONAL DE RIO NEGRO;CENTRO DE INVESTIGACIONES Y TRANSFERENCIA DE RIO NEGRO;;;;
10602;73;2;3;00587;10602;;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO DE INVESTIGACIONES Y TRANSFERENCIA DE RIO NEGRO;;;;
10604;75;3;3;00398;03303;10604;;;;UNIVERSIDAD NACIONAL DE MAR DEL PLATA;FACULTAD DE PSICOLOGIA;INSTITUTO DE PSICOLOGIA BASICA, APLICADA Y TECNOLOGIA;;;
10604;73;3;3;00587;06291;10604;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET - MAR DEL PLATA;INSTITUTO DE PSICOLOGIA BASICA, APLICADA Y TECNOLOGIA;;;
10615;75;4;3;00101;00122;00123;10615;;;UNIVERSIDAD DE BUENOS AIRES;FACULTAD DE CIENCIAS EXACTAS Y NATURALES;DEPARTAMENTO DE INDUSTRIAS;INSTITUTO DE TECNOLOGIA DE ALIMENTOS Y PROCESOS QUIMICOS;;
10615;73;3;3;00587;08207;10615;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;OFICINA DE COORDINACION ADMINISTRATIVA CIUDAD UNIVERSITARIA;INSTITUTO DE TECNOLOGIA DE ALIMENTOS Y PROCESOS QUIMICOS;;;
10646;75;2;3;00231;10646;;;;;UNIVERSIDAD NACIONAL DEL COMAHUE;INSTITUTO PATAGONICO DE ESTUDIOS DE HUMANIDADES Y CIENCIAS SOCIALES;;;;
10646;73;3;3;00587;16482;10646;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET - PATAGONIA CONFLUENCIA;INSTITUTO PATAGONICO DE ESTUDIOS DE HUMANIDADES Y CIENCIAS SOCIALES;;;
10666;75;3;3;00398;00402;10666;;;;UNIVERSIDAD NACIONAL DE MAR DEL PLATA;FACULTAD DE INGENIERIA;INSTITUTO DE INVESTIGACIONES CIENTIFICAS Y TECNOLOGICAS EN ELECTRONICA;;;
10666;73;3;3;00587;06291;10666;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET - MAR DEL PLATA;INSTITUTO DE INVESTIGACIONES CIENTIFICAS Y TECNOLOGICAS EN ELECTRONICA;;;
10671;73;4;3;00587;08208;09958;10671;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;OFICINA DE COORDINACION ADMINISTRATIVA HOUSSAY;INSTITUTO DE NEUROCIENCIA COGNITIVA Y TRASLACIONAL;FUNDACION INECO ROSARIO SEDE DEL INCYT;;
