producto_id;pais_edicion_id;issn;eissn;pagina_inicial;pagina_final;revista;volumen;numero;tomo;doi;editorial;revista_sjr
55257;1;;;57;70;DENSIDADES;;15;;;OSVALDO GARCÍA;NO INDEXADO
55258;1;00757411;;91;104;ANALES DE LA FACULTAD DE CIENCIAS JURÍDICAS Y SOCIALES;11;44;;;LA LEY;NO INDEXADO
55259;1;18537855;;53;67;REVISTA TRANSVERSALES;;3;;;COLECTIVO DE TRABAJO TRANSVERSALES;NO INDEXADO
55260;1;0328-1035;;;;LA LEY;;;;;LA LEY;NO INDEXADO
55261;4;2346-0849;;251;270;ANUARIO DE DERECHO CONSTITUCIONAL LATINOAMERICANO 2014;;;;;FUNDACIÓN KONRAD ADENAUER;NO INDEXADO
55262;1;1666-8987;;;;EL DERECHO;;;;;UNIVERSITAS SRL;NO INDEXADO
55263;1;0326-1190;;;;LEXIS NEXIS - JURISPRUDENCIA ARGENTINA;;;;;LEXIS NEXIS;NO INDEXADO
55264;1;18525199;;18;19;REVISTA LE;;5;;;PARQUE DEL CONOCIMIENTO;NO INDEXADO
55266;1;0328-1035;;;;LA LEY;;;;;LA LEY;NO INDEXADO
55268;1;0329-1677;;;;VOCES JURÍDICAS;;;;;LA LEY;NO INDEXADO
55269;1;1666 6917;;;;TECNOLOGÍA Y CIENCIA;;;;;SECRETARÍA DE CIENCIA Y TECNOLOGÍA DEL RECTORADO DE LA UNIVERSIDAD TECNOLÓGICA NACIONAL.;NO INDEXADO
55270;1;18518931;;151;163;LIS. LETRA. IMAGEN. SONIDO. CIUDAD MEDIATIZADA;;11;;;JOSÉ LUIS FERNÁNDEZ Y EQUIPO UBACYT;NO INDEXADO
55271;1;1851-0590;;;;DERECHO ADMINISTRATIVO;;91;;;ABELEDO PERROT;NO INDEXADO
55272;1;0329-1677;;;;VOCES JURÍDICAS;;;;;LA LEY;NO INDEXADO
55273;7;14134004;;3;36;CRITICA;46;138;;;UNAM;NO INDEXADO
55274;1;1850-3853;;11;26;ITINERARIOS EDUCATIVOS;;9;;;EDICIONES UNL;NO INDEXADO
55275;82;2050084X;;1;18;ELIFE;3;;;10.7554/eLife.03564;ELIFE SCIENCES PUBLICATIONS, LTD;Q1
55276;21;10780432;;4613;4624;CLINICAL CANCER RESEARCH;1;17;;10.1158/1078-0432.CCR-13-3063;AMER ASSOC CANCER RESEARCH;Q1
55277;82;14655411;;;;BREAST CANCER RESEARCH;16;;;10.1186/bcr3669;BIOMED CENTRAL LTD;Q1
55279;1;0325-0075;;59;64;ARCHIVOS ARGENTINOS DE PEDIATRIA;112;1;;;SOC ARGENTINA PEDIATRIA;Q3
55280;1;1850-6747;;23;46;ESTUDIOS SOCIALES CONTEMPORÁNEOS;;10;;;IDEHESI;NO INDEXADO
55281;7;20070888;;90;102;SUFRAGIO. REVISTA ESPECIALIZADA EN DERECHO ELECTORAL;1;13;;;TRIBUNAL ELECTORAL DEL ESTADO DE JALISCO;NO INDEXADO
55282;1;18501532;;114;119;REV ARGENT NEUROC;28;3;;;ASOCIACIÓN ARGENTINA DE NEUROCIRUGÍA;NO INDEXADO
55283;1;18501532;;35;39;REV ARGENT NEUROC;28;2;;;ASOCIACIÓN ARGENTINA DE NEUROCIRUGÍA;NO INDEXADO
55284;1;18501532;;24;24;REV ARGENT NEUROC;28;1;;;ASOCIACIÓN ARGENTINA DE NEUROCIRUGÍA;NO INDEXADO
55285;570;21527806;;260;266;SURG NEUROL INT;5;5;;10.4103/2152-7806.137960;MEDKNOW PUBLICATIONS;Q2
55286;570;21527806;;256;259;SURG NEUROL INT;5;5;;10.4103/2152-7806.137952;MEDKNOW PUBLICATIONS;Q2
55287;570;21527806;;247;255;SURG NEUROL INT;5;5;;10.4103/2152-7806.137950;MEDKNOW PUBLICATIONS;Q2
55288;21;09675868;;;;JOURNAL OF CLINICAL NEUROSCIENCE;;;;10.1016/j.jocn.2014.01.020;ELSEVIER SCI LTD;Q2
55289;570;;;209;209;J NEUROSCI RURAL PRACT;5;3;;10.4103/0976-3155.133549;MEDKNOW PUBLICATIONS;NO INDEXADO
55290;21;2152-7806;;441;445;SURGICAL NEUROLOGY INTERNATIONAL;;5;;10.4103/2152-7806.179545;WOLTERS KLUWER;Q2
55291;33;05677572;;321;328;ACTA HORTICULTURAE;1057;;;;INTERNATIONAL SOCIETY FOR HORTICULTURAL SCIENCE;NO INDEXADO
55292;1;03270793;;;;LATIN AMERICAN APPLIED RESEARCH;;;;;PLAPIQUI(UNS-CONICET);Q3
55293;1;03250296;;94;100;CARRETERAS;;215;;;ASOCIACIÓN ARGENTINA DE CARRETERAS;NO INDEXADO
55294;82;0001-7272;;44;62;ACTA ZOOLOGICA;95;;;10.1111/azo.12007/abstract?deniedAccessCustomisedMessage=&userIsAuthenticated=false;WILEY-BLACKWELL PUBLISHING, INC;Q2
55295;3;18089798;;1;128;SOUTH AMERICAN JOURNAL OF HERPETOLOGY;9;;;;BRAZILIAN SOCIETY OF HERPETOLOGY;NO INDEXADO
55296;1;18509371;;;;REVISTA DE LA FACULTAD DE DERECHO UNC;V;2;;;CÓRDOBA ;NO INDEXADO
55297;1;1666390X;;80;85;APORTES CIENTÍFICOS DESDE HUMANIDADES 3;10;;;;EDITORIAL UNIVERSITARIA - SECRETARÍA DE EXTENSIÓN - UNCA;NO INDEXADO
55298;22;00084166;;;;CANADIAN JOURNAL OF MICROBIOLOGY;;;;;NATL RESEARCH COUNCIL CANADA-N R C RESEARCH PRESS;Q2
55299;31;03701972;;538;544;PHYSICA STATUS SOLIDI B-BASIC RESEARCH;252;3;;;WILEY-V C H VERLAG GMBH;Q1
55300;1;03279545;;;;BIOCELL;;;;;INST HISTOL EMBRIOL-CONICET;Q4
55301;21;13504827;;129;140;METEOROLOGICAL APPLICATIONS;22;22;;;JOHN WILEY & SONS INC;Q2
55302;1;18512526;;;;XLIII JORNADAS ARGENTINAS DE INFORMÁTICA E INVESTIGACIÓN OPERATIVA (43JAIIO) - VIII SIMPOSIO ARGENTINO DE INFORMÁTICA DEL ESTADO (SIE);;;;;SOCIEDAD ARGENTINA DE INFORMÁTICA E INVESTIGACIÓN OPERATIVA (SADIO);NO INDEXADO
55304;21;;;;;ETHNOBIOLOGY LETTERS;;;;;UNIVERSIDAD DE PUGET SOUND;NO INDEXADO
55305;82;0022-2933;;775;788;JOURNAL OF NATURAL HISTORY;49;;;10.1080/00222933.2014.981309;TAYLOR & FRANCIS LTD;Q3
55306;1;18523048;;;;REVISTA DISCIPLINAR CONFLUENCIAS IV;IV;IV;;;ECU - EDITORIAL CIENTÍFICA UNIVERSITARIA - UNCA;NO INDEXADO
